,city,lat,lng,max temp,humidity,cloudiness,wind speed,country,date
0,hermanus,-34.4187,19.2345,287.48,73,100,4.66,ZA,1629136234
1,dingle,10.9995,122.6711,298.04,90,97,2.45,PH,1629136234
2,ayolas,-27.4,-56.9,300.98,38,5,2.16,PY,1629136235
3,cheney,47.4874,-117.5758,304.12,24,20,9.26,US,1629136235
4,mount gambier,-37.8333,140.7667,282.1,93,90,3.6,AU,1629136236
5,saint-augustin,51.226,-58.6502,296.0,41,29,4.5,CA,1629136236
6,bredasdorp,-34.5322,20.0403,289.77,72,100,2.06,ZA,1629136236
7,ixtapa,20.7,-105.2,305.5,66,82,0.89,MX,1629136236
8,ribeira grande,38.5167,-28.7,298.37,83,40,3.6,PT,1629136237
9,barrow,71.2906,-156.7887,275.16,75,75,10.29,US,1629136237
10,longyearbyen,78.2186,15.6401,279.06,65,20,6.17,SJ,1629136238
11,lebu,-37.6167,-73.65,285.58,79,6,5.74,CL,1629136238
12,krasnoyarsk,56.0097,92.7917,285.37,78,16,1.72,RU,1629136235
13,cape town,-33.9258,18.4232,288.64,80,40,4.02,ZA,1629135908
14,cap malheureux,-19.9842,57.6142,294.52,66,24,1.79,MU,1629136239
15,kruisfontein,-34.0033,24.7314,290.31,54,57,2.71,ZA,1629136239
16,provideniya,64.3833,-173.3,279.72,84,100,1.15,RU,1629136239
17,punta arenas,-53.15,-70.9167,281.21,76,0,3.09,CL,1629136240
18,tiznit,29.5833,-9.5,312.36,10,63,1.53,MA,1629136240
19,mataura,-46.1927,168.8643,278.42,99,95,0.87,NZ,1629136241
20,bethel,41.3712,-73.414,301.12,57,20,1.54,US,1629136241
21,mayahi,13.9553,7.6712,304.3,51,100,3.52,NE,1629136241
22,kapaa,22.0752,-159.319,298.33,81,75,2.06,US,1629136242
23,batagay-alyta,67.8006,130.4114,278.73,85,73,1.47,RU,1629136242
24,dunda,-8.1167,34.25,293.85,54,51,3.18,TZ,1629136242
25,rawson,-43.3002,-65.1023,292.78,30,61,14.87,AR,1629136243
26,hobart,-42.8794,147.3294,281.07,76,90,0.45,AU,1629136243
27,nuuk,64.1835,-51.7216,280.88,94,98,1.8,GL,1629136243
28,riyadh,24.6877,46.7219,311.23,13,9,4.23,SA,1629136244
29,yaan,7.3833,8.5667,297.21,91,100,2.03,NG,1629136244
30,mahebourg,-20.4081,57.7,294.4,64,40,4.63,MU,1629136244
31,college,64.8569,-147.8028,284.59,96,90,0.89,US,1629136014
32,encruzilhada,-15.5314,-40.9094,300.07,37,21,4.3,BR,1629136245
33,alyangula,-13.8483,136.4192,293.08,100,1,0.51,AU,1629136246
34,albany,42.6001,-73.9662,300.19,56,96,1.33,US,1629136124
35,vardo,70.3705,31.1107,282.26,71,75,4.63,NO,1629136246
36,tuyen quang,21.8233,105.2181,298.42,98,100,0.85,VN,1629136247
37,bengkulu,-3.8004,102.2655,296.96,85,95,1.6,ID,1629136247
38,nanortalik,60.1432,-45.2371,281.74,98,100,5.28,GL,1629136247
39,ponta do sol,32.6667,-17.1,304.33,29,0,2.73,PT,1629136248
40,lavrentiya,65.5833,-171.0,277.33,78,68,1.55,RU,1629136248
41,thunder bay,48.4001,-89.3168,301.1,56,20,5.14,CA,1629136220
42,ilulissat,69.2167,-51.1,277.87,96,100,2.07,GL,1629136248
43,pangnirtung,66.1451,-65.7125,286.15,58,90,6.69,CA,1629136249
44,peniche,39.3558,-9.3811,298.86,81,0,9.54,PT,1629136249
45,kaitangata,-46.2817,169.8464,278.46,94,100,3.18,NZ,1629136250
46,ushuaia,-54.8,-68.3,278.96,93,75,1.54,AR,1629136250
47,estelle,29.8458,-90.1067,306.48,61,75,3.6,US,1629136250
48,dikson,73.5069,80.5464,278.98,96,100,6.15,RU,1629136251
49,yellowknife,62.456,-114.3525,286.44,71,75,7.2,CA,1629136251
50,agadir,30.4202,-9.5982,319.4,24,30,4.72,MA,1629136252
51,cherskiy,68.75,161.3,275.21,90,86,2.83,RU,1629136252
52,chokurdakh,70.6333,147.9167,273.3,85,66,3.48,RU,1629136252
53,ishinomaki,38.4167,141.3,294.12,88,100,2.34,JP,1629136253
54,jamestown,42.097,-79.2353,297.92,68,75,3.09,US,1629136233
55,yeppoon,-23.1333,150.7333,286.03,90,5,1.96,AU,1629136253
56,port alfred,-33.5906,26.891,292.29,71,7,8.52,ZA,1629136254
57,qaanaaq,77.484,-69.3632,276.85,98,100,2.17,GL,1629136254
58,pevek,69.7008,170.3133,273.99,95,99,2.28,RU,1629136254
59,tuktoyaktuk,69.4541,-133.0374,281.15,100,90,4.12,CA,1629136255
60,nsanje,-16.92,35.262,294.96,64,82,2.06,MW,1629136255
61,umm lajj,25.0213,37.2685,303.96,68,0,3.33,SA,1629136255
62,sao gabriel da cachoeira,-0.1303,-67.0892,304.04,74,75,1.03,BR,1629136256
63,kodinsk,58.6881,99.1844,286.76,95,87,1.87,RU,1629136256
64,avarua,-21.2078,-159.775,293.18,83,75,5.66,CK,1629136256
65,winder,33.9926,-83.7202,303.7,72,90,0.0,US,1629136257
66,waingapu,-9.6567,120.2641,298.77,74,3,5.57,ID,1629136257
67,luderitz,-26.6481,15.1594,286.08,77,20,3.46,NA,1629136257
68,new norfolk,-42.7826,147.0587,280.87,65,99,1.34,AU,1629136258
69,hualmay,-11.0964,-77.6139,292.37,71,82,5.95,PE,1629136258
70,east london,-33.0153,27.9116,291.67,77,0,5.14,ZA,1629136259
71,puerto ayora,-0.7393,-90.3518,298.13,88,71,5.36,EC,1629136259
72,srednekolymsk,67.45,153.6833,277.21,88,88,3.61,RU,1629136260
73,vaini,-21.2,-175.2,293.24,77,20,3.09,TO,1629136260
74,toba tek singh,30.9743,72.4827,306.56,38,2,4.23,PK,1629135963
75,sioux lookout,50.1001,-91.917,301.19,54,75,5.14,CA,1629136261
76,rikitea,-23.1203,-134.9692,296.91,76,0,6.02,PF,1629136261
77,saskylakh,71.9167,114.0833,286.02,64,100,4.53,RU,1629136261
78,cidreira,-30.1811,-50.2056,290.59,83,8,3.99,BR,1629136262
79,upernavik,72.7868,-56.1549,279.62,94,100,4.3,GL,1629136262
80,manokwari,-0.8667,134.0833,297.86,78,76,1.46,ID,1629136263
81,saldanha,-33.0117,17.9442,287.18,91,100,6.93,ZA,1629136263
82,tamandare,-8.7597,-35.1047,297.97,75,81,6.02,BR,1629136263
83,san jose,37.3394,-121.895,303.45,63,20,2.06,US,1629136038
84,pangkalanbuun,-2.6833,111.6167,296.91,93,58,0.75,ID,1629136264
85,norman wells,65.282,-126.8329,284.17,100,75,0.0,CA,1629136264
86,ginir,7.1333,40.7,289.59,67,38,6.88,ET,1629136265
87,itum-kale,42.7356,45.5758,291.3,90,75,1.63,RU,1629136265
88,tuburan,6.6439,122.2736,300.19,76,99,2.14,PH,1629136265
89,tomatlan,19.9333,-105.25,305.2,61,63,1.91,MX,1629136266
90,grand gaube,-20.0064,57.6608,294.47,66,30,1.79,MU,1629136266
91,bolivar,37.6145,-93.4105,303.05,64,11,1.09,US,1629136267
92,shingu,33.7333,135.9833,297.54,93,100,0.87,JP,1629136267
93,nurota,40.5614,65.6886,297.2,28,0,7.82,UZ,1629136267
94,disraeli,45.9001,-71.3491,297.71,44,0,1.79,CA,1629136268
95,wahpeton,46.2652,-96.6059,301.55,26,12,8.76,US,1629136268
96,kodiak,57.79,-152.4072,284.88,76,1,0.0,US,1629136269
97,banjarmasin,-3.3244,114.591,297.23,92,92,1.45,ID,1629136269
98,mahibadhoo,3.7833,72.9667,301.42,74,100,5.48,MV,1629136269
99,namibe,-15.1961,12.1522,291.97,81,17,7.62,AO,1629136270
100,yerbogachen,61.2767,108.0108,283.81,95,94,1.69,RU,1629136270
101,aswan,24.0934,32.907,312.76,8,0,3.09,EG,1629136271
102,enid,36.3956,-97.8784,303.72,70,40,2.68,US,1629136141
103,nelson bay,-32.7167,152.15,284.64,72,0,1.34,AU,1629136271
104,lata,40.1629,-8.3327,305.4,39,0,3.65,PT,1629136272
105,tiksi,71.6872,128.8694,278.33,85,88,1.84,RU,1629136272
106,souillac,-20.5167,57.5167,294.46,64,40,4.63,MU,1629136272
107,chuy,-33.6971,-53.4616,290.35,72,6,2.58,UY,1629136273
108,thompson,55.7435,-97.8558,287.24,94,90,4.63,CA,1629136273
109,coahuayana,18.7333,-103.6833,305.58,57,77,1.85,MX,1629136273
110,johi,26.6921,67.6133,308.46,39,1,4.08,PK,1629136274
111,moree,-29.4667,149.85,278.16,81,0,3.09,AU,1629136274
112,san cristobal,7.7669,-72.225,302.25,56,88,3.22,VE,1629136275
113,hilo,19.7297,-155.09,299.05,71,20,3.09,US,1629136275
114,walvis bay,-22.9575,14.5053,288.68,63,3,4.63,NA,1629136276
115,chinsali,-10.5414,32.0816,292.32,56,78,5.23,ZM,1629136276
116,hami,42.8,93.45,294.73,59,96,3.74,CN,1629136276
117,rybinsk,58.0446,38.8426,290.07,73,96,1.77,RU,1629136277
118,sitka,57.0531,-135.33,286.09,88,75,0.0,US,1629136057
119,marawi,7.9986,124.2928,292.95,93,98,0.81,PH,1629136277
120,ouesso,1.6136,16.0517,295.97,93,92,1.21,CG,1629136278
121,airai,-8.9266,125.4092,287.69,72,74,1.7,TL,1629136278
122,pedini,39.5997,20.8433,301.03,51,20,3.09,GR,1629136279
123,balyaga,51.1507,108.921,287.12,98,100,1.15,RU,1629136279
124,imbituba,-28.24,-48.6703,293.09,75,34,5.74,BR,1629136279
125,bluff,-46.6,168.3333,278.6,84,95,5.52,NZ,1629136280
126,tuatapere,-46.1333,167.6833,278.61,94,93,1.97,NZ,1629136280
127,codrington,-38.2667,141.9667,283.66,84,72,5.71,AU,1629136280
128,port elizabeth,-33.918,25.5701,293.31,68,0,6.69,ZA,1629136242
129,hay river,60.8156,-115.7999,286.14,76,75,6.69,CA,1629136178
130,hobyo,5.3505,48.5268,298.41,77,93,12.93,SO,1629136281
131,tirumullaivasal,11.2333,79.8333,301.62,72,99,5.12,IN,1629136282
132,salalah,17.0151,54.0924,298.04,89,92,1.65,OM,1629136282
133,kahului,20.8947,-156.47,295.75,75,1,1.54,US,1629136282
134,talnakh,69.4865,88.3972,282.82,94,100,2.95,RU,1629136283
135,yokosuka,35.2836,139.6672,295.36,91,100,4.48,JP,1629136283
136,plettenberg bay,-34.0527,23.3716,291.85,66,87,2.29,ZA,1629136283
137,teya,60.3778,92.6267,285.86,97,65,1.37,RU,1629136284
138,lamar,33.6668,-95.5836,305.11,67,75,4.63,US,1629136284
139,bambous virieux,-20.3428,57.7575,294.38,64,40,4.63,MU,1629136284
140,tessalit,20.1986,1.0114,304.8,40,92,9.22,ML,1629136285
141,yarmouth,41.7057,-70.2286,299.34,62,75,2.24,US,1629136286
142,kavieng,-2.5744,150.7967,300.57,76,99,3.9,PG,1629136286
143,avera,33.194,-82.5271,299.88,87,100,2.46,US,1629136286
144,saint george,37.1041,-113.5841,309.61,24,0,1.79,US,1629136287
145,itacurubi del rosario,-24.5,-56.6833,306.65,24,0,2.39,PY,1629136287
146,boende,-0.2167,20.8667,300.51,56,87,1.25,CD,1629136287
147,kalmunai,7.4167,81.8167,300.32,78,100,2.94,LK,1629136288
148,busselton,-33.65,115.3333,288.73,71,0,3.43,AU,1629136288
149,gawler,-34.6,138.7333,284.06,97,46,0.51,AU,1629136072
150,port-cartier,50.0334,-66.8654,294.27,53,100,4.67,CA,1629136289
151,cabo san lucas,22.8909,-109.9124,308.49,67,76,2.64,MX,1629135995
152,aljezur,37.3191,-8.8033,296.42,58,1,6.59,PT,1629136289
153,santa vitoria do palmar,-33.5189,-53.3681,290.86,68,3,2.18,BR,1629136290
154,duzce,40.8389,31.1639,293.86,79,0,0.46,TR,1629136291
155,tilichiki,60.4667,166.1,283.8,96,100,2.53,RU,1629136291
156,palana,59.1167,159.9667,283.33,92,93,9.55,RU,1629136291
157,port-gentil,-0.7193,8.7815,299.13,83,40,6.17,GA,1629136292
158,springdale,36.1867,-94.1288,303.47,57,40,0.0,US,1629136079
159,vestmannaeyjar,63.4427,-20.2734,285.7,87,90,8.23,IS,1629136292
160,naze,28.3667,129.4833,298.57,85,100,4.73,JP,1629136292
161,castro,-24.7911,-50.0119,296.32,52,35,3.12,BR,1629136293
162,port hardy,50.6996,-127.4199,287.25,82,75,3.09,CA,1629136293
163,xining,36.6167,101.7667,288.42,77,17,0.35,CN,1629136294
164,eyl,7.9803,49.8164,298.59,77,21,12.03,SO,1629136294
165,bathsheba,13.2167,-59.5167,304.49,62,20,9.26,BB,1629136295
166,shenjiamen,29.9576,122.298,298.55,90,100,2.81,CN,1629136295
167,trogir,43.5125,16.2517,305.18,33,0,2.57,HR,1629136295
168,torbay,47.6666,-52.7314,298.98,59,20,8.23,CA,1629136296
169,klaksvik,62.2266,-6.589,284.66,97,97,5.86,FO,1629136296
170,velizh,55.6056,31.1967,290.88,96,96,3.05,RU,1629136296
171,beirut,33.8889,35.4944,302.56,58,0,2.06,LB,1629136229
172,huarmey,-10.0681,-78.1522,293.58,69,90,5.33,PE,1629136297
173,itoman,26.1247,127.6694,301.16,92,75,4.63,JP,1629136297
174,alekseyevka,50.6309,38.6903,296.99,39,2,1.14,RU,1629136298
175,sarandi,-23.4436,-51.8739,305.9,27,0,3.09,BR,1629136298
176,tifton,31.4505,-83.5085,301.05,91,90,1.54,US,1629136299
177,laguna,38.421,-121.4238,310.06,57,1,1.54,US,1629136299
178,butaritari,3.0707,172.7902,301.59,75,51,5.59,KI,1629136299
179,saint-philippe,-21.3585,55.7679,292.92,73,71,6.1,RE,1629136300
180,prince george,53.9166,-122.753,288.29,52,1,0.89,CA,1629136254
181,arandis,-22.4167,14.9667,283.41,63,2,1.11,NA,1629136300
182,mar del plata,-38.0023,-57.5575,284.16,87,90,4.12,AR,1629136301
183,marzuq,14.4,46.4667,303.03,44,74,3.83,YE,1629136301
184,tasiilaq,65.6145,-37.6368,280.59,83,97,1.19,GL,1629136301
185,abaete,-19.16,-45.4458,304.85,21,23,2.77,BR,1629136302
186,vostok,46.4856,135.8833,285.93,73,14,1.55,RU,1629136302
187,moose factory,51.2585,-80.6094,303.15,51,1,6.17,CA,1629136303
188,lindi,-10.0,39.7167,296.84,78,48,2.28,TZ,1629136303
189,severo-kurilsk,50.6789,156.125,285.37,94,64,5.77,RU,1629136303
190,bintulu,3.1667,113.0333,298.38,100,40,1.54,MY,1629136304
191,chalchihuites,23.4833,-103.8833,296.09,45,50,1.43,MX,1629136304
192,hasaki,35.7333,140.8333,294.37,91,100,2.43,JP,1629136305
193,denpasar,-8.65,115.2167,298.96,100,40,4.63,ID,1629136112
194,rorvik,64.8621,11.2373,286.14,87,75,2.57,NO,1629136305
195,hit,33.6416,42.8251,307.49,13,0,5.36,IQ,1629136305
196,atuona,-9.8,-139.0333,298.55,79,15,7.1,PF,1629136306
197,corowa,-36.0333,146.3833,281.25,96,6,3.26,AU,1629136306
198,san antonio,29.4241,-98.4936,307.63,62,20,0.0,US,1629136269
199,salinas,36.6777,-121.6555,300.39,77,90,2.57,US,1629135712
200,nome,64.5011,-165.4064,280.19,81,90,3.6,US,1629136307
201,panguna,-6.3164,155.4848,291.81,88,100,0.96,PG,1629136307
202,praxedis guerrero,31.3667,-106.0167,297.27,76,100,5.88,MX,1629136307
203,udachnyy,66.4167,112.4,283.53,83,33,2.16,RU,1629136308
204,takoradi,4.8845,-1.7554,299.04,73,82,5.57,GH,1629136308
205,lompoc,34.6391,-120.4579,298.62,90,20,3.6,US,1629136309
206,lorengau,-2.0226,147.2712,299.97,81,40,3.34,PG,1629136309
207,itanhaem,-24.1831,-46.7889,294.24,81,52,0.83,BR,1629136309
208,pauini,-7.7136,-66.9764,312.23,22,0,1.09,BR,1629136310
209,lasa,46.6166,10.7002,291.27,96,75,3.98,IT,1629136310
210,sisimiut,66.9395,-53.6735,281.76,78,35,3.58,GL,1629136310
211,nchelenge,-9.3451,28.734,296.43,47,3,1.29,ZM,1629136311
212,necochea,-38.5473,-58.7368,288.17,55,100,7.69,AR,1629136311
213,saint-georges,12.0564,-61.7485,303.97,74,20,10.29,GD,1629136312
214,ostrovnoy,68.0531,39.5131,281.21,80,100,3.5,RU,1629136312
215,toamasina,-18.1667,49.3833,292.15,88,75,3.09,MG,1629136312
216,cicero dantas,-10.6,-38.3833,302.12,33,52,6.87,BR,1629136313
217,clovis,36.8252,-119.7029,310.38,43,1,0.45,US,1629136313
218,arraial do cabo,-22.9661,-42.0278,298.13,73,0,8.23,BR,1629136314
219,muros,42.7762,-9.0603,298.84,66,0,7.52,ES,1629136314
220,katsuura,35.1333,140.3,295.21,94,100,3.48,JP,1629136315
221,zhigansk,66.7697,123.3711,281.32,77,5,3.7,RU,1629136315
222,tangkak,2.2673,102.5453,299.08,97,99,0.81,MY,1629136315
223,dallas,32.7668,-96.7836,307.52,58,40,1.34,US,1629135825
224,hithadhoo,-0.6,73.0833,301.18,73,82,3.32,MV,1629136316
225,jumla,29.2747,82.1838,290.1,92,56,0.55,NP,1629136316
226,pringsewu,-5.3582,104.9744,295.64,94,86,0.65,ID,1629136316
227,cockburn town,21.4612,-71.1419,304.13,66,40,7.2,TC,1629136317
228,khatanga,71.9667,102.5,284.56,84,93,7.24,RU,1629136317
229,olinda,-8.0089,-34.8553,298.0,65,40,5.66,BR,1629136317
230,kizukuri,40.8061,140.3861,290.42,95,72,1.93,JP,1629136318
231,faanui,-16.4833,-151.75,299.56,67,54,6.05,PF,1629136318
232,majene,-3.5403,118.9707,298.31,90,71,4.98,ID,1629136318
233,westport,41.1415,-73.3579,301.82,55,1,0.45,US,1629136319
234,mendi,-6.1761,143.6513,286.46,99,100,0.56,PG,1629136319
235,tura,25.5198,90.2201,296.62,98,100,2.33,IN,1629136320
236,greeley,40.4233,-104.7091,307.41,32,1,0.0,US,1629136320
237,oxford,51.7522,-1.256,291.92,61,20,0.45,GB,1629136320
238,bonavista,48.6499,-53.1147,296.15,87,39,6.48,CA,1629136321
239,caravelas,-17.7125,-39.2481,298.38,61,45,3.69,BR,1629136321
240,svetlogorsk,52.6333,29.7333,296.9,51,70,3.0,BY,1629136322
241,high level,58.5169,-117.136,287.21,82,75,7.2,CA,1629136322
242,digby,44.6169,-65.7655,298.68,49,23,1.12,CA,1629136072
243,maumere,-8.6199,122.2111,298.95,72,21,1.87,ID,1629136323
244,kinablangan,7.6947,126.5503,298.81,86,99,1.58,PH,1629136323
245,nhulunbuy,-12.2333,136.7667,296.49,88,23,2.06,AU,1629136324
246,hambantota,6.1241,81.1185,299.28,82,99,7.75,LK,1629136324
247,bosaso,11.2842,49.1816,306.11,45,29,2.26,SO,1629136325
248,rome,34.257,-85.1647,304.53,63,40,0.45,US,1629135994
249,el terrero,14.0667,-87.0667,299.62,47,40,1.54,HN,1629136325
250,thinadhoo,0.5333,72.9333,301.45,73,99,3.77,MV,1629136325
251,touros,-5.1989,-35.4608,304.65,62,31,10.57,BR,1629136326
252,tomado,7.1925,124.6081,296.13,95,98,0.97,PH,1629136326
253,georgetown,5.4112,100.3354,297.12,97,40,1.54,MY,1629136168
254,iqaluit,63.7506,-68.5145,279.0,93,90,5.14,CA,1629136327
255,boa vista,2.8197,-60.6733,305.14,51,75,3.09,BR,1629136327
256,bilibino,68.0546,166.4372,277.1,81,100,2.28,RU,1629136327
257,beringovskiy,63.05,179.3167,281.83,71,49,2.44,RU,1629136328
258,sao jose da coroa grande,-8.8978,-35.1478,298.01,75,80,6.24,BR,1629136328
259,bima,-8.4667,118.7167,296.35,95,26,1.85,ID,1629136328
260,verkhnevilyuysk,63.4453,120.3167,283.81,94,99,1.67,RU,1629136329
261,nouakchott,18.0858,-15.9785,302.11,77,46,4.67,MR,1629136291
262,ulaanbaatar,47.9077,106.8832,294.22,43,40,3.0,MN,1629136048
263,ibotirama,-12.1853,-43.2206,307.59,14,0,1.85,BR,1629136330
264,magan,39.9683,-3.931,311.44,9,0,6.89,ES,1629136330
265,teluk nibung,3.001,99.8164,297.16,90,100,0.58,ID,1629136330
266,san martin,-33.081,-68.4681,292.45,15,1,5.68,AR,1629136331
267,geraldton,-28.7667,114.6,286.38,94,40,3.6,AU,1629136331
268,hargeysa,9.56,44.065,297.48,48,76,10.96,SO,1629136332
269,chifeng,42.2683,118.9636,290.35,94,68,1.85,CN,1629136332
270,cerkezkoy,41.285,28.0003,297.16,68,0,5.66,TR,1629136332
271,maribondo,-9.5772,-36.3053,298.9,68,76,5.03,BR,1629136333
272,deputatskiy,69.3,139.9,274.62,93,23,1.0,RU,1629136333
