,city,lat,lng,max temp,humidity,cloudiness,wind speed,country,date
273,weihai,37.5017,122.1136,295.76,84,83,2.46,CN,1629136334
274,pemba,-12.974,40.5178,297.54,78,20,7.72,MZ,1629136334
275,pacifica,37.6138,-122.4869,303.93,80,20,1.79,US,1629136334
276,nizhniy ingash,56.2,96.53,288.87,68,69,1.41,RU,1629136335
277,viedma,-40.8135,-62.9967,295.52,23,83,10.09,AR,1629136335
278,ondjiva,-17.0667,15.7333,295.81,19,0,1.58,AO,1629136335
279,beloha,-25.1667,45.05,290.79,68,2,7.64,MG,1629136336
280,natalio,-26.7167,-55.0833,303.34,27,1,2.01,PY,1629136336
281,cochrane,51.1834,-114.4687,293.07,63,75,6.17,CA,1629136337
282,ambilobe,-13.2,49.05,295.05,74,35,1.88,MG,1629136337
283,bay roberts,47.5999,-53.2648,299.4,55,2,2.68,CA,1629136338
284,vilhena,-12.7406,-60.1458,305.27,29,0,2.06,BR,1629136338
285,valle hermoso,25.6667,-97.8333,307.07,40,5,2.53,MX,1629136338
286,krasnoselkup,65.7,82.4667,285.83,67,8,4.02,RU,1629136339
287,sumoto,34.35,134.9,298.17,89,100,8.83,JP,1629136339
288,vysokogornyy,50.1167,139.15,285.45,95,3,0.79,RU,1629136339
289,santiago del estero,-27.7951,-64.2615,300.82,18,2,5.87,AR,1629136340
290,tautira,-17.7333,-149.15,299.16,80,25,5.71,PF,1629136340
291,llata,-9.4167,-76.7833,291.35,51,49,4.11,PE,1629136341
292,padang,-0.9492,100.3543,298.23,87,98,2.06,ID,1629136341
293,oliveira dos brejinhos,-12.3169,-42.8961,305.8,15,0,2.75,BR,1629136341
294,nikolskoye,59.7035,30.7861,291.49,75,100,2.17,RU,1629136342
295,xinpu,34.5997,119.1594,295.12,92,0,0.49,CN,1629136342
296,flin flon,54.7682,-101.865,292.06,68,90,3.09,CA,1629136343
297,gizo,-8.103,156.8419,299.37,79,99,0.51,SB,1629136343
298,saint anthony,45.0205,-93.218,303.11,50,1,0.89,US,1629136343
299,carnarvon,-24.8667,113.6333,291.19,75,8,2.06,AU,1629136344
300,kingston,17.997,-76.7936,306.01,62,20,0.89,JM,1629135653
301,buchanan,5.8808,-10.0467,299.01,73,72,3.53,LR,1629136344
302,torrington,41.8007,-73.1212,300.61,54,100,0.89,US,1629136345
303,vao,-22.6667,167.4833,292.6,67,92,4.48,NC,1629136345
304,pyskowice,50.4,18.6333,298.58,68,97,3.58,PL,1629136345
305,assen,52.9967,6.5625,289.21,75,75,2.24,NL,1629136346
306,bjornevatn,69.6672,29.9847,282.34,71,75,1.54,NO,1629136346
307,veraval,20.9,70.3667,299.97,81,49,4.68,IN,1629136347
308,sovetskiy,61.3614,63.5842,291.65,63,58,3.51,RU,1629136347
309,winslow,35.0242,-110.6974,304.8,36,1,0.45,US,1629136347
310,severnoye,56.3491,78.3619,288.74,71,99,2.13,RU,1629136348
311,bembereke,10.2283,2.6634,294.7,95,100,0.46,BJ,1629136348
312,pisco,-13.7,-76.2167,290.38,77,90,2.57,PE,1629136348
313,saint-paul,-21.0096,55.2707,293.21,76,80,0.73,RE,1629136349
314,ransang,8.9603,117.5828,299.19,85,80,1.39,PH,1629136349
315,nisia floresta,-6.0911,-35.2086,304.6,55,43,7.67,BR,1629136349
316,florence,43.7667,11.25,304.31,55,0,7.2,IT,1629136346
317,yulara,-25.2406,130.9889,284.06,25,50,3.6,AU,1629136350
318,teahupoo,-17.8333,-149.2667,296.13,80,28,6.04,PF,1629136350
319,calbuco,-41.768,-73.1273,283.71,74,24,8.79,CL,1629136351
320,okha,53.5739,142.9478,286.55,93,0,3.76,RU,1629136351
321,vidim,56.4088,103.1106,284.06,85,56,1.45,RU,1629136352
322,ejea de los caballeros,42.1263,-1.1372,304.75,44,0,12.09,ES,1629136352
323,tripoli,32.8752,13.1875,302.18,58,0,5.47,LY,1629136352
324,saint-pierre,-21.3393,55.4781,292.97,71,40,7.2,RE,1629136353
325,solton,52.8429,86.4787,287.5,87,100,2.36,RU,1629136353
326,montevideo,-34.8335,-56.1674,289.16,75,75,4.02,UY,1629136325
327,natal,-5.795,-35.2094,304.51,58,40,8.75,BR,1629136295
328,almaznyy,48.0448,40.045,298.23,55,100,1.8,RU,1629136354
329,san pedro,14.35,121.0167,301.12,78,20,1.54,PH,1629136354
330,san patricio,28.017,-97.5169,306.41,48,17,2.69,US,1629136354
331,filingue,14.3521,3.3168,305.55,48,99,1.75,NE,1629136355
332,sulangan,11.1373,123.7228,301.57,76,100,3.56,PH,1629136355
333,makhu,31.1033,74.9978,301.44,62,51,2.08,IN,1629136356
334,aguilas,37.4063,-1.5829,304.46,68,41,3.7,ES,1629136356
335,yar-sale,66.8333,70.8333,288.85,82,100,5.13,RU,1629136356
336,ust-maya,60.4167,134.5333,290.09,93,100,1.24,RU,1629136357
337,fuyu,45.1833,124.8167,290.26,92,100,2.32,CN,1629136357
338,ossora,59.2353,163.0719,286.18,96,93,2.92,RU,1629136357
339,yucaipa,34.0336,-117.0431,311.7,41,9,0.45,US,1629136358
340,ahipara,-35.1667,173.1667,285.46,85,15,6.01,NZ,1629136358
341,adrar,20.5022,-10.0711,313.8,16,78,4.24,MR,1629136359
342,gat,31.61,34.7642,301.93,100,0,2.9,IL,1629136359
343,kutum,14.2,24.6667,301.63,47,21,3.33,SD,1629136359
344,san angelo,31.4638,-100.437,305.73,58,14,0.89,US,1629136360
345,jurado,7.1053,-77.7641,300.64,79,64,3.79,CO,1629136360
346,san quintin,30.4833,-115.95,297.8,72,29,3.53,MX,1629136361
347,batemans bay,-35.7167,150.1833,281.04,79,1,2.01,AU,1629136361
348,coachella,33.6803,-116.1739,314.55,38,1,1.79,US,1629136151
349,troitsko-pechorsk,62.7084,56.1964,287.42,96,67,2.24,RU,1629136362
350,banda aceh,5.5577,95.3222,299.49,73,100,2.14,ID,1629136362
351,ruthin,53.1137,-3.3178,290.04,87,79,0.89,GB,1629136363
352,harper,4.375,-7.7169,299.18,65,47,3.41,LR,1629136363
353,melito di porto salvo,37.9222,15.7714,303.66,51,0,5.66,IT,1629136363
354,hungen,50.4737,8.8933,289.7,84,97,2.68,DE,1629136363
355,shwebo,22.5667,95.7,297.83,84,100,5.23,MM,1629136364
356,weyburn,49.6668,-103.8511,305.27,17,3,3.6,CA,1629136365
357,baihar,22.1,80.55,296.25,92,99,1.3,IN,1629136365
358,upata,8.0086,-62.3989,302.78,57,64,2.61,VE,1629136365
359,sur,22.5667,59.5289,301.57,70,45,6.03,OM,1629136366
360,walcz,53.2779,16.4712,293.1,58,82,5.74,PL,1629136366
361,popondetta,-8.7537,148.2534,295.32,97,76,1.06,PG,1629136366
362,puerto colombia,10.9878,-74.9547,303.2,70,34,2.98,CO,1629136367
363,ziarat,30.3823,67.7282,291.46,54,76,1.76,PK,1629136367
364,ancud,-41.8697,-73.8203,283.94,83,13,11.29,CL,1629136368
365,am timan,11.0297,20.2827,297.85,86,99,2.74,TD,1629136368
366,dukat,62.55,155.55,281.75,92,97,1.52,RU,1629136369
367,oranjemund,-28.55,16.4333,286.87,73,91,6.49,NA,1629136369
368,honiara,-9.4333,159.95,297.74,87,99,0.58,SB,1629136369
369,anage,-14.6122,-41.1356,304.3,24,1,4.53,BR,1629136370
370,gerash,27.6652,54.1371,308.23,24,1,1.68,IR,1629136370
371,esperance,-33.8667,121.9,283.06,82,30,6.55,AU,1629136370
372,portland,45.5234,-122.6762,299.93,60,20,0.89,US,1629135675
373,gwadar,25.1216,62.3254,299.83,77,32,3.38,PK,1629136371
374,tanete,-3.9443,119.7848,296.57,95,46,2.73,ID,1629136371
375,gela,37.0803,14.2307,305.44,89,0,5.66,IT,1629136372
376,yazykovo,55.2199,56.1353,294.59,43,97,1.21,RU,1629136372
377,afyonkarahisar,38.75,30.6667,294.12,32,0,2.72,TR,1629136373
378,tarime,-1.35,34.3667,295.53,76,78,3.81,TZ,1629136373
379,ratnagiri,16.9833,73.3,298.17,88,100,1.66,IN,1629136373
380,berezovyy,51.6667,135.7,289.05,87,48,1.65,RU,1629136374
381,shelburne,44.0787,-80.2041,298.02,35,95,3.54,CA,1629136374
382,karasjok,69.4719,25.5112,281.21,62,100,1.4,NO,1629136375
383,calvinia,-31.4707,19.776,286.26,54,100,2.5,ZA,1629136375
384,poya,-21.35,165.15,291.71,86,31,2.07,NC,1629136375
385,barcarena,-1.5058,-48.6258,302.18,63,11,3.19,BR,1629136376
386,george town,5.4112,100.3354,297.12,97,40,1.54,MY,1629136376
387,kijang,35.2442,129.2139,297.0,84,89,5.67,KR,1629136376
388,kronshtadt,59.9936,29.7736,291.64,70,100,2.69,RU,1629136377
389,port augusta,-32.5,137.7667,278.23,83,0,1.58,AU,1629136377
390,puerto carreno,6.189,-67.4859,304.69,54,57,1.33,CO,1629136378
391,minot,48.2325,-101.2963,307.27,20,1,4.12,US,1629136200
392,gladstone,-23.85,151.25,288.11,88,20,2.06,AU,1629136378
393,kishtwar,33.3167,75.7667,289.78,62,3,2.1,IN,1629136378
394,alice springs,-23.7,133.8833,276.9,41,40,0.0,AU,1629136379
395,fuente palmera,37.7049,-5.0996,315.68,4,0,5.61,ES,1629136379
396,hovd,48.0056,91.6419,286.88,85,100,1.97,MN,1629136380
397,labuhan,-6.8844,112.2051,297.98,84,60,2.69,ID,1629136380
398,coquimbo,-29.9533,-71.3436,291.0,48,0,2.06,CL,1629136328
399,alta floresta,-9.8756,-56.0861,310.05,20,0,2.57,BR,1629136381
400,ulladulla,-35.35,150.4667,282.65,79,1,2.53,AU,1629136381
401,sakaiminato,35.55,133.2333,295.14,100,75,0.51,JP,1629136381
402,sabzevar,36.2126,57.6819,298.33,13,0,6.64,IR,1629136141
403,andros town,24.7,-77.7667,305.13,69,71,7.38,BS,1629136382
404,dongsheng,39.8161,109.9776,295.44,48,37,3.38,CN,1629136383
405,mehamn,71.0357,27.8492,281.25,77,100,5.08,NO,1629136383
406,cayenne,4.9333,-52.3333,303.17,79,75,1.79,GF,1629136384
407,japura,-0.3167,102.35,295.93,97,94,0.84,ID,1629136384
408,kangaatsiaq,68.3065,-53.4641,278.71,92,83,4.24,GL,1629136385
409,oktyabrskiy,54.4815,53.471,295.18,26,87,1.33,RU,1629136385
410,manyana,-23.4,21.7167,291.98,31,5,4.38,BW,1629136386
411,victoria,22.2855,114.1577,302.22,85,2,2.24,HK,1629136227
412,north bend,43.4065,-124.2243,290.45,77,90,1.54,US,1629136386
413,baherden,38.4362,57.4316,299.43,15,0,2.4,TM,1629136387
414,lerwick,60.1545,-1.1494,285.15,72,71,5.74,GB,1629136387
415,ternate,0.8,127.4,299.54,81,70,0.57,ID,1629136388
416,vytegra,61.0064,36.4481,287.24,90,62,2.83,RU,1629136388
417,sao filipe,14.8961,-24.4956,299.36,87,65,1.07,CV,1629136389
418,amalfi,6.9102,-75.0776,293.26,90,70,1.4,CO,1629136389
419,kungurtug,50.5994,97.5228,286.07,98,100,0.89,RU,1629136390
420,jorpeland,59.0225,6.0408,291.14,77,51,2.36,NO,1629136390
421,clyde river,70.4692,-68.5914,280.28,87,75,5.14,CA,1629136390
422,petropavlovsk-kamchatskiy,53.0452,158.6483,282.48,100,0,2.0,RU,1629136391
423,kieta,-6.2167,155.6333,298.2,75,100,0.56,PG,1629136391
424,chicama,-7.8447,-79.1469,291.45,60,48,4.51,PE,1629136392
425,matagami,49.7502,-77.6328,301.21,51,1,5.14,CA,1629136392
426,palembang,-2.9167,104.7458,296.37,94,56,1.43,ID,1629136392
427,baykit,61.67,96.37,286.47,99,97,1.29,RU,1629136393
428,wahiawa,21.5028,-158.0236,297.48,81,1,2.06,US,1629136393
429,vrangel,42.7297,133.0839,289.97,81,56,1.47,RU,1629136393
430,sola,-13.8833,167.55,298.78,78,76,9.22,VU,1629136394
431,plastun,44.7561,136.2939,289.79,90,33,1.02,RU,1629136394
432,qui nhon,13.7667,109.2333,299.35,85,12,2.35,VN,1629136395
433,zamardi,46.8849,17.9537,303.12,34,34,0.89,HU,1629136395
434,senanga,-16.1167,23.2667,293.44,29,0,3.03,ZM,1629136395
435,epureni,46.7062,28.0403,301.03,46,2,3.59,RO,1629136396
436,leningradskiy,69.3833,178.4167,273.48,89,98,4.85,RU,1629136396
437,samana,19.2056,-69.3369,300.27,94,75,5.14,DO,1629136396
438,areosa,41.7178,-8.8571,300.75,61,0,10.02,PT,1629136397
439,gravdal,68.1214,13.5031,283.76,78,90,6.11,NO,1629136397
440,fortuna,40.5982,-124.1573,289.07,96,75,3.09,US,1629136255
441,marsabit,2.3284,37.9899,294.17,49,21,10.63,KE,1629136398
442,kavaratti,10.5669,72.642,300.88,78,100,7.15,IN,1629136398
443,makakilo city,21.3469,-158.0858,298.49,79,1,2.06,US,1629136398
444,nampula,-15.1165,39.2666,295.12,68,20,6.69,MZ,1629136399
445,angoche,-16.2325,39.9086,296.54,63,49,5.29,MZ,1629136399
446,vanimo,-2.6741,141.3028,298.91,89,38,1.47,PG,1629136400
447,tigre,-34.426,-58.5796,293.29,65,0,6.17,AR,1629136400
448,chapais,49.7834,-74.8492,299.03,37,20,5.88,CA,1629136400
449,tiarei,-17.5333,-149.3333,299.16,79,18,4.94,PF,1629136401
450,makaryev,57.8797,43.8069,292.33,68,89,1.22,RU,1629136401
451,mindelheim,48.05,10.4833,290.73,82,40,5.66,DE,1629136401
452,broome,42.2506,-75.833,299.83,64,98,0.45,US,1629136402
453,bellevue,47.6104,-122.2007,295.95,78,90,1.34,US,1629136243
454,nanzhang,31.7765,111.8386,296.32,97,99,0.59,CN,1629136402
455,kenai,60.5544,-151.2583,290.39,77,1,4.12,US,1629136402
456,kununurra,-15.7667,128.7333,294.14,24,0,2.06,AU,1629136403
457,leiyang,26.4024,112.8591,298.99,90,100,1.7,CN,1629136403
458,fukue,32.6881,128.8419,298.98,89,100,8.41,JP,1629136404
459,narsaq,60.9167,-46.05,282.92,98,100,0.61,GL,1629136404
460,qingdao,36.0986,120.3719,296.93,94,9,2.0,CN,1629136404
461,guerrero negro,27.9769,-114.0611,299.9,61,32,2.85,MX,1629136405
462,mayumba,-3.432,10.6554,297.06,89,95,3.86,GA,1629136405
463,cabano,10.5869,122.7002,299.87,82,95,3.46,PH,1629136405
464,manohar thana,24.24,76.8018,300.95,69,15,1.39,IN,1629136406
465,hailey,43.5196,-114.3153,304.25,18,38,4.0,US,1629136406
466,mongagua,-24.0931,-46.6208,296.61,95,69,0.71,BR,1629136406
467,erdenet,49.0333,104.0833,288.51,98,100,2.0,MN,1629136407
468,pouebo,-20.4,164.5667,292.36,84,37,4.64,NC,1629136407
469,bandarbeyla,9.4942,50.8122,297.83,85,23,14.02,SO,1629136407
470,rauma,61.1272,21.5113,290.17,90,93,3.76,FI,1629136408
471,muzhi,65.3667,64.6667,289.87,73,70,5.7,RU,1629136408
472,alofi,-19.0595,-169.9187,293.09,88,90,8.23,NU,1629136409
473,kindu,-2.95,25.95,299.3,47,54,1.0,CD,1629136409
474,yambio,4.5721,28.3955,297.16,72,56,1.34,SS,1629136409
475,sinnamary,5.3833,-52.95,300.42,77,50,3.01,GF,1629136410
476,timizart,36.8,4.2667,304.04,41,46,1.83,DZ,1629136410
477,pinega,64.7001,43.3936,285.33,97,97,2.14,RU,1629136410
478,laramie,41.3114,-105.5911,301.36,34,0,0.48,US,1629136411
479,amahai,-3.3333,128.9167,297.94,91,60,1.48,ID,1629136412
480,hervey bay,-25.2986,152.8535,287.61,77,26,4.07,AU,1629136412
481,vila velha,-20.3297,-40.2925,298.12,69,75,4.63,BR,1629136117
482,quatre cocos,-20.2078,57.7625,294.31,70,83,7.79,MU,1629136412
483,boyolangu,-8.1181,111.8935,296.03,95,48,1.87,ID,1629136413
484,luwuk,-0.9516,122.7875,297.5,86,66,2.2,ID,1629136413
485,scicli,36.7902,14.7014,302.92,64,0,4.38,IT,1629136414
486,wuxue,29.8506,115.5525,297.27,97,97,1.18,CN,1629136414
487,santa ines,-3.6667,-45.38,308.54,31,25,1.32,BR,1629136414
488,virginia beach,36.8529,-75.978,304.83,76,75,4.12,US,1629136041
489,bandundu,-3.3167,17.3667,302.81,44,53,1.73,CD,1629136415
490,mwense,-10.3845,28.698,297.31,32,30,1.3,ZM,1629136415
491,progreso,21.2833,-89.6667,308.21,56,66,4.07,MX,1629136415
492,ayan,56.45,138.1667,292.14,73,21,1.96,RU,1629136416
493,puerto del rosario,28.5004,-13.8627,302.01,54,20,6.69,ES,1629136416
494,okulovka,58.4008,33.2908,286.84,80,82,1.6,RU,1629136416
495,maceio,-9.6658,-35.7353,299.84,61,75,5.14,BR,1629136157
496,te anau,-45.4167,167.7167,276.53,98,93,1.62,NZ,1629136417
497,bereda,43.2686,-7.5406,292.27,78,2,3.63,ES,1629136418
498,mogadishu,2.0371,45.3438,297.86,84,27,8.58,SO,1629136418
499,santa isabel do rio negro,-0.4139,-65.0192,298.56,86,63,1.7,BR,1629136418
500,husavik,66.0449,-17.3389,288.1,82,43,1.88,IS,1629136419
501,minggang,32.4586,114.0486,294.89,96,23,0.4,CN,1629136419
502,evensk,61.95,159.2333,282.8,97,100,0.99,RU,1629136419
503,tual,-5.6667,132.75,299.55,83,67,10.23,ID,1629136420
504,yichang,30.7144,111.2847,297.59,95,99,0.85,CN,1629136420
505,bud,39.447,-86.1758,300.54,75,68,2.59,US,1629136421
506,port lincoln,-34.7333,135.8667,285.11,67,80,2.73,AU,1629136421
507,kikwit,-5.041,18.8162,306.66,21,84,0.7,CD,1629136421
508,komsomolskiy,40.4272,71.7189,295.55,28,0,4.12,UZ,1629136422
509,naica,27.85,-105.4833,303.59,33,63,4.5,MX,1629136422
510,launceston,-41.45,147.1667,279.71,85,29,0.45,AU,1629136422
511,aleksandrovsk-sakhalinskiy,50.8975,142.1561,286.22,89,2,4.62,RU,1629136423
512,tigil,57.8,158.6667,284.28,94,13,4.93,RU,1629136423
513,quelimane,-17.8786,36.8883,295.12,73,20,2.06,MZ,1629136423
514,mahon,39.8885,4.2658,298.46,65,0,10.29,ES,1629136424
515,gamba,-2.65,10.0,297.21,87,84,4.32,GA,1629136424
516,adeje,28.1227,-16.726,309.76,19,0,15.43,ES,1629136424
517,seymchan,62.8833,152.4333,281.3,83,100,2.75,RU,1629136425
518,melfi,40.9965,15.6514,306.31,41,46,3.42,IT,1629136425
519,ketchikan,55.3422,-131.6461,287.73,74,87,2.79,US,1629136425
520,elizabeth city,36.2946,-76.2511,305.37,72,75,2.57,US,1629136426
521,iracoubo,5.4802,-53.2011,300.41,75,58,3.14,GF,1629136426
522,rurrenabaque,-14.4413,-67.5278,303.09,66,75,0.0,BO,1629136426
523,darnah,32.767,22.6367,299.61,77,0,6.12,LY,1629136427
524,kosonsoy,41.2561,71.5508,291.46,27,0,3.72,UZ,1629136427
525,turek,52.0155,18.5005,294.25,83,45,1.56,PL,1629136428
526,paamiut,61.994,-49.6678,281.04,96,100,3.54,GL,1629136428
527,berlevag,70.8578,29.0864,281.57,72,100,5.87,NO,1629136428
528,puerto leguizamo,-0.1934,-74.7819,299.89,80,78,0.98,CO,1629136429
529,kurumkan,54.3,110.3,286.87,90,70,2.32,RU,1629136429
530,sioux falls,43.55,-96.7003,301.64,57,20,7.72,US,1629136429
531,la fleche,47.6982,-0.0755,294.61,47,1,6.48,FR,1629136429
532,dalvik,65.9702,-18.5286,288.11,79,52,1.93,IS,1629136430
533,redlands,34.0556,-117.1825,313.67,41,75,0.0,US,1629136248
534,buala,-8.145,159.5921,298.07,87,99,0.73,SB,1629136430
535,severodvinsk,64.5635,39.8302,287.21,94,96,2.07,RU,1629136431
536,koping,59.514,15.9926,290.4,86,96,2.39,SE,1629136431
537,sukhobezvodnoye,57.0491,44.8891,294.18,64,99,1.69,RU,1629136431
538,yuli,9.6989,10.2744,296.12,93,100,0.95,NG,1629136432
539,khorixas,-20.3667,14.9667,293.04,47,0,3.34,NA,1629136432
540,poum,-20.2333,164.0167,294.91,75,85,7.71,NC,1629136432
541,rocha,-34.4833,-54.3333,292.13,60,14,4.13,UY,1629136433
542,yashkul,46.1711,45.3435,302.0,33,94,4.19,RU,1629136433
543,ensley,30.5188,-87.2728,301.81,81,75,1.79,US,1629136433
544,axim,4.8699,-2.2405,298.63,74,98,3.96,GH,1629136434
545,namatanai,-3.6667,152.4333,298.55,82,100,1.17,PG,1629136434
546,mbanza-ngungu,-5.25,14.8667,300.07,53,91,3.09,CD,1629136434
547,havre,49.5833,0.3333,291.73,77,20,7.2,FR,1629136435
